7.689119715932582722e+01 7.255370918467171748e+01 7.442465987090405122e+01 6.649844518400679760e+01 5.868367694302895643e+01 5.369348339957604566e+01 4.507597879880236036e+01 3.551294006718089946e+01 2.737225402971690258e+01 2.235754389905038764e+01
3.720537580271967215e+01 3.382243127928913395e+01 3.114525945273051022e+01 2.402117943515132836e+01 2.063554386529881768e+01 1.974844653657936178e+01 1.561961605731306157e+01 1.429620186334780563e+01 1.687498053743010828e+01 1.708079219553870232e+01
3.327783657279914564e+01 2.346677433074576768e+01 2.339853248279860054e+01 1.856141254272147734e+01 1.816234112248254817e+01 1.382313560795560470e+01 1.025426130168486871e+01 9.293973323394249419e+00 7.518743200568200002e+00 7.863065665845521579e+00
2.443047042448218065e+01 1.856184873040643168e+01 1.736805202563777684e+01 1.371574059140326085e+01 1.131423464184527639e+01 9.801978546556139094e+00 7.233072376283018912e+00 5.864757824426489741e+00 4.643618885439395605e+00 3.962317406515587948e+00
1.847753093795664725e+01 1.477046052545926891e+01 1.175401470966618689e+01 1.099036580874192026e+01 8.841516892721843490e+00 6.276914629032332549e+00 5.397939437041199717e+00 3.749766256865468161e+00 3.299430218996617370e+00 2.632688528132048678e+00
1.074567254265501326e+01 8.823963043693540342e+00 8.500770262540489952e+00 7.739823872361362156e+00 6.062916817629402821e+00 4.788189289552615691e+00 3.570317444147855568e+00 2.646513684106764241e+00 2.125117488552297651e+00 1.819527417148826487e+00
9.893208246150519969e+00 6.310562975528033469e+00 4.780428446266372866e+00 4.830789613091219792e+00 4.292496828513132634e+00 3.500788228499521093e+00 2.405795169321836457e+00 2.018250606290974414e+00 1.272537025852189974e+00 1.158651398785078390e+00
6.876509923826648496e+00 4.824161426967816801e+00 4.832348065165834150e+00 3.323218197029643495e+00 3.193998334292500463e+00 2.682424111127355904e+00 1.914421343230446881e+00 1.394193081447400617e+00 1.016747823687657037e+00 8.129311464722981384e-01
5.058738061765162719e+00 4.461253470826791911e+00 4.457111508272143752e+00 3.450620788298863761e+00 2.784177380405772340e+00 1.876791422704799261e+00 1.338976033363979745e+00 9.671071581278390950e-01 8.156345326019304176e-01 5.599514935217704270e-01
4.065728362242849947e+00 2.929611559061542803e+00 2.792195888780545587e+00 2.375070215171493526e+00 2.147966467115130396e+00 1.665050919364722271e+00 1.174050086084140299e+00 9.359339581378409711e-01 7.094537299115658557e-01 5.564108483288121576e-01
